epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.789,1.8167,1.40642,1.29966,0.95491,0.96126,0.97439,0.49592,1.68593,0.89303,1.22595,0.000664103,0.000664103,0.000664103
2,293.208,1.67749,0.89241,1.25595,0.95488,0.95335,0.96922,0.44787,1.73675,0.70319,1.28906,0.00131759,0.00131759,0.00131759
3,411.241,1.64274,0.78784,1.25952,0.96177,0.92919,0.97128,0.49228,1.64036,0.69014,1.29646,0.00195789,0.00195789,0.00195789
4,528.407,1.60495,0.7357,1.25888,0.95938,0.95745,0.97445,0.48573,1.70198,0.65894,1.29068,0.0019406,0.0019406,0.0019406
5,644.382,1.55761,0.69885,1.23965,0.96536,0.95398,0.97225,0.48814,1.65811,0.63391,1.28639,0.0019208,0.0019208,0.0019208
6,760.159,1.52813,0.67436,1.23003,0.96805,0.95528,0.97393,0.52792,1.60934,0.59894,1.25509,0.001901,0.001901,0.001901
7,878.232,1.50092,0.6607,1.21634,0.95619,0.94414,0.97737,0.54045,1.5583,0.5657,1.23833,0.0018812,0.0018812,0.0018812
8,995.179,1.4752,0.64394,1.20876,0.97882,0.94955,0.97472,0.52472,1.58749,0.61242,1.24724,0.0018614,0.0018614,0.0018614
9,1111.65,1.4599,0.63819,1.20886,0.96123,0.96577,0.97475,0.52347,1.59565,0.60882,1.25629,0.0018416,0.0018416,0.0018416
10,1229.52,1.43143,0.62109,1.1961,0.96411,0.96809,0.97031,0.52492,1.64437,0.59976,1.29402,0.0018218,0.0018218,0.0018218
11,1346.56,1.41155,0.61131,1.188,0.97101,0.98018,0.9803,0.50124,1.66899,0.5631,1.26634,0.001802,0.001802,0.001802
12,1463.71,1.40071,0.60341,1.18225,0.96916,0.96847,0.97892,0.53772,1.62045,0.56543,1.26811,0.0017822,0.0017822,0.0017822
13,1581.01,1.37931,0.59728,1.17752,0.9699,0.97477,0.97424,0.52653,1.61364,0.58055,1.25893,0.0017624,0.0017624,0.0017624
14,1701.9,1.37401,0.58978,1.17294,0.9322,0.95766,0.96805,0.5554,1.5321,0.57908,1.21304,0.0017426,0.0017426,0.0017426
15,1821.28,1.35777,0.58698,1.16571,0.92549,0.96937,0.97268,0.52888,1.60643,0.58458,1.24198,0.0017228,0.0017228,0.0017228
16,1939.38,1.34939,0.58139,1.1604,0.96621,0.95856,0.97149,0.54535,1.53912,0.5728,1.23965,0.001703,0.001703,0.001703
17,2059.75,1.33886,0.57577,1.15816,0.9717,0.95878,0.9729,0.57506,1.53571,0.53289,1.22196,0.0016832,0.0016832,0.0016832
18,2177.42,1.30637,0.56283,1.14747,0.94764,0.97477,0.97346,0.54336,1.56412,0.58063,1.25153,0.0016634,0.0016634,0.0016634
19,2295.09,1.31232,0.563,1.14658,0.97098,0.96472,0.97195,0.56252,1.52263,0.53779,1.22912,0.0016436,0.0016436,0.0016436
20,2413.55,1.30217,0.5607,1.14207,0.95416,0.95644,0.96955,0.54445,1.55639,0.55455,1.25007,0.0016238,0.0016238,0.0016238
21,2529.78,1.29027,0.55452,1.13917,0.96768,0.96577,0.96641,0.55728,1.55246,0.56892,1.23569,0.001604,0.001604,0.001604
22,2646.33,1.27491,0.54976,1.13024,0.97796,0.95936,0.96655,0.55066,1.56785,0.55343,1.22157,0.0015842,0.0015842,0.0015842
23,2762.41,1.27344,0.54939,1.13221,0.98048,0.97477,0.98377,0.57088,1.50683,0.53438,1.21423,0.0015644,0.0015644,0.0015644
